,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_name,type,uri,valence
0,0.356,0.708,339471,0.583,0.0,1,0.101,-7.847,0,Caleborate,0.406,82.105,4,4 Willem,bay_area,spotify:track:4nWPmn1tqegITYKdZOJpKv,0.676
1,0.823,0.535,214368,0.216,0.00395,9,0.11,-12.932,1,Caleborate,0.217,171.609,4,Caught Up,bay_area,spotify:track:4jvQ3EvoTkgeXiqTjLlhPv,0.246
2,0.497,0.765,159046,0.514,0.0,5,0.0929,-10.924,0,Caleborate,0.449,97.423,4,Clicquot Shower - A COLORS SHOW,bay_area,spotify:track:3iBBYvj3I5DNSuUgFjushj,0.571
3,0.684,0.656,271214,0.54,0.0,8,0.118,-7.78,1,Caleborate,0.487,82.715,4,El Portal,bay_area,spotify:track:7fWMxQKbY4FxofuYz1ZMDx,0.542
4,0.161,0.749,244753,0.631,0.0,7,0.153,-7.082,0,Caleborate,0.186,95.012,4,Pull Up,bay_area,spotify:track:7jNKltvrrClDaaG81flM1w,0.429
5,0.711,0.596,167866,0.517,5.67e-06,11,0.172,-10.962,0,Caleborate,0.367,74.291,4,Untitled (Hit Record),bay_area,spotify:track:3mM3yqzLY8k5kpVawTqSsz,0.53
6,0.642,0.702,219179,0.316,0.0,5,0.123,-14.255,1,Caleborate,0.439,134.175,4,These Days,bay_area,spotify:track:1c0IND0G0SlApPtxfbhlEZ,0.307
7,0.736,0.818,242240,0.389,0.0,3,0.249,-8.406,0,Caleborate,0.112,126.767,4,home,bay_area,spotify:track:7kaIJuX8fxDgTFumxFmCWi,0.602
8,0.791,0.715,254399,0.453,0.0,9,0.0698,-9.738,1,Caleborate,0.339,75.003,4,Away From,bay_area,spotify:track:3SVeFVQS1H0XRLjkEccPKC,0.465
9,0.0384,0.445,237013,0.579,0.0,5,0.163,-8.586,1,Caleborate,0.313,85.265,4,Bankrobber,bay_area,spotify:track:3SqVtIMesHETZDm3UU2Pb4,0.548
10,0.694,0.601,161043,0.596,0.00579,11,0.107,-7.373,1,WHY?,0.0251,108.0,4,Siren 042,bay_area,spotify:track:75nN4kH1uzSsUdMrdUVfrq,0.457
11,0.419,0.524,229803,0.918,0.000655,4,0.455,-5.463,0,WHY?,0.0529,147.966,4,Good Friday,bay_area,spotify:track:65Z4dxKlWtNhrPghqWtevw,0.738
12,0.555,0.452,246109,0.779,3.05e-05,0,0.235,-5.208,0,WHY?,0.0397,123.992,4,"The Vowels, Pt. 2",bay_area,spotify:track:46wDtZkcoQdSelJ12emUIp,0.13
13,0.805,0.34,371147,0.938,0.479,2,0.319,-10.099,1,WHY?,0.376,74.035,4,Good Friday - Boards of Canada Remix,bay_area,spotify:track:2WnTLTRahk484WKBAR1sG2,0.364
14,0.212,0.441,184438,0.548,9e-05,5,0.111,-8.184,0,WHY?,0.0551,129.915,4,These Few Presidents,bay_area,spotify:track:3je5cct1llhBSOE9Vkimbi,0.459
15,0.0625,0.407,233422,0.902,3.66e-06,2,0.364,-4.7,1,WHY?,0.0545,125.414,4,Fatalist Palmistry,bay_area,spotify:track:5CbdBwARzbPNNldURYLssd,0.624
16,0.0818,0.547,234603,0.712,8.08e-05,2,0.112,-5.407,0,WHY?,0.0294,124.786,4,The Hollows,bay_area,spotify:track:4EvhRodgAKtFK7Qo5KelrR,0.361
17,0.176,0.645,327520,0.798,0.000289,3,0.101,-4.077,1,WHY?,0.0264,109.133,3,Gemini (Birthday Song),bay_area,spotify:track:4CgW0OIhoLIalJCYocld0u,0.311
18,0.0278,0.584,198217,0.707,0.0,5,0.29,-7.123,1,WHY?,0.0543,75.473,4,Strawberries,bay_area,spotify:track:4Tu8ZM8d3p7wMDeQMyNg6f,0.439
19,0.811,0.577,250000,0.51,3.35e-05,2,0.125,-9.717,1,WHY?,0.0454,105.0,4,"Bloom Wither Bloom (for Mom) (feat. Christian Lee Hutson, Gabby’s World)",bay_area,spotify:track:56VNfkae9r8sQIUFZCfo0F,0.413
20,0.622,0.599,245640,0.835,0.0,2,0.28,-6.027,1,Woodie,0.147,188.042,4,The Streets Are Callin' Me,bay_area,spotify:track:3qNoGIfSNWH0i88hPl1vek,0.603
21,0.101,0.903,211840,0.611,0.0,1,0.104,-8.283,0,Woodie,0.0768,102.043,4,Norte Sidin',bay_area,spotify:track:5P2nl9SVr9joiwos6Y1FXd,0.343
22,0.483,0.689,327373,0.836,0.0,2,0.266,-5.734,1,Woodie,0.267,164.123,4,The Way You Feel (Feat. Shadow & Lil Los),bay_area,spotify:track:1z3ZeJcueOM0aKr3ucQb0k,0.699
23,0.136,0.821,191133,0.608,4.83e-05,11,0.144,-7.296,1,Woodie,0.0461,97.981,4,The Clock Is Tickin',bay_area,spotify:track:5OEwhQSpXN3t1kI1Xx7fdF,0.418
24,0.253,0.793,346347,0.629,0.0,1,0.214,-5.865,1,Woodie,0.298,93.918,4,"Blackbird (Feat. Lil Los, Shadow & Lou E Lou)",bay_area,spotify:track:4iXSdj83QtXs6rk4wEKvdz,0.785
25,0.00341,0.785,224600,0.67,0.0032,7,0.133,-6.924,1,Woodie,0.0389,91.027,4,Callin' Your Bluff,bay_area,spotify:track:3yg6i7DNsIJL6YiBgZF0Y4,0.196
26,0.109,0.665,296133,0.897,0.0,0,0.623,-2.566,1,Woodie,0.0471,92.017,4,Loyalty (Feat. Lil Los),bay_area,spotify:track:43edNkQa0G0EeeWZP32G8G,0.809
27,0.00464,0.663,279987,0.753,0.0,2,0.182,-5.227,1,Woodie,0.206,168.129,4,Mind Games (Blackbird Speaks) - Bonus Track,bay_area,spotify:track:57nJX6Mx4EzGEzk16SOJbE,0.646
28,0.444,0.72,258373,0.808,0.0,7,0.246,-4.717,1,Woodie,0.259,83.876,4,-n- The Bay,bay_area,spotify:track:64BiH9GJzi0PiWUM6PTGWc,0.547
29,0.0568,0.545,205714,0.598,0.000324,1,0.0846,-9.093,0,Woodie,0.301,167.936,4,Karma Is a Mutha,bay_area,spotify:track:76vV9Ciq02r7EL4L85IM0n,0.529
30,0.153,0.787,230107,0.698,0.0,2,0.0848,-6.159,1,Krypto,0.147,92.997,4,Who Is That? (feat. Husalah),bay_area,spotify:track:2ZDV0Q430XUsky62X3C6cy,0.153
31,0.198,0.908,309881,0.814,0.0,10,0.0416,-6.08,0,Krypto,0.274,104.732,4,Peace In The Streets,bay_area,spotify:track:3xOLjfVtIQtQWltdmcTsKb,0.862
32,4.1e-05,0.742,543673,0.989,0.797,11,0.0812,-5.067,0,Krypto,0.064,150.002,4,Comedian Party - Original Mix,bay_area,spotify:track:2kxlM9cg77AmY90PJ3zQZJ,0.395
33,0.00741,0.408,347345,0.743,0.0,1,0.352,-6.625,0,Krypto,0.263,81.073,4,"I Won't Tell (feat. Jay Rock, Nipsey Hussle & T-Nutty)",bay_area,spotify:track:05VJ70EmUJBW68ROqPru8m,0.39
34,0.000664,0.683,239989,0.869,0.0,1,0.118,-6.068,1,Krypto,0.0469,102.047,4,Zapped (feat. Andre Nickatina),bay_area,spotify:track:3bsNRXJ5HCiZGtiPmsVHLv,0.495
35,0.0148,0.573,194187,0.897,0.0,9,0.113,-4.663,0,Krypto,0.307,91.25,4,Gyangsta (feat. Los Rakas & The Jacka),bay_area,spotify:track:3uQQwq6SfpJr3gBdwh3E2t,0.592
36,0.0554,0.484,265160,0.626,0.0,7,0.914,-13.715,1,Krypto,0.675,73.22,4,Im Ill,bay_area,spotify:track:27L3V9VztsndbR1nF0QuY9,0.668
37,0.000316,0.548,343354,0.943,0.05,7,0.308,-5.846,1,Krypto,0.263,136.083,4,"Empire Of The Gun (feat. Husalah, Krondon & Phil Da Agony)",bay_area,spotify:track:5WrHOat6nMuLmy0fpwbq6J,0.521
38,0.267,0.814,231824,0.617,0.0,9,0.117,-14.086,0,Krypto,0.0973,110.004,4,Utopia (figli del caos) [feat. Devir Vinz Shepard],bay_area,spotify:track:0LlI5WwzsCLen3JftpWwXr,0.834
39,0.108,0.604,277111,0.751,0.0,8,0.0982,-7.37,1,Krypto,0.342,160.027,4,Dope Dick (feat. Rydah J. Klyde),bay_area,spotify:track:0LIpCsEVaEwqx2kFQDC6gs,0.419
