,type,name,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,bay_area,Caleborate,4 Willem,spotify:track:4nWPmn1tqegITYKdZOJpKv,0.708,0.583,1,-7.847,0,0.406,0.356,0.0,0.101,0.676,82.105,339471,4
1,bay_area,Caleborate,Caught Up,spotify:track:4jvQ3EvoTkgeXiqTjLlhPv,0.535,0.216,9,-12.932,1,0.217,0.823,0.00395,0.11,0.246,171.609,214368,4
2,bay_area,Caleborate,Clicquot Shower - A COLORS SHOW,spotify:track:3iBBYvj3I5DNSuUgFjushj,0.765,0.514,5,-10.924,0,0.449,0.497,0.0,0.0929,0.571,97.423,159046,4
3,bay_area,Caleborate,El Portal,spotify:track:7fWMxQKbY4FxofuYz1ZMDx,0.656,0.54,8,-7.78,1,0.487,0.684,0.0,0.118,0.542,82.715,271214,4
4,bay_area,Caleborate,Pull Up,spotify:track:7jNKltvrrClDaaG81flM1w,0.749,0.631,7,-7.082,0,0.186,0.161,0.0,0.153,0.429,95.012,244753,4
5,bay_area,Caleborate,Untitled (Hit Record),spotify:track:3mM3yqzLY8k5kpVawTqSsz,0.596,0.517,11,-10.962,0,0.367,0.711,5.67e-06,0.172,0.53,74.291,167866,4
6,bay_area,Caleborate,home,spotify:track:7kaIJuX8fxDgTFumxFmCWi,0.818,0.389,3,-8.406,0,0.112,0.736,0.0,0.249,0.602,126.767,242240,4
7,bay_area,Caleborate,These Days,spotify:track:1c0IND0G0SlApPtxfbhlEZ,0.702,0.316,5,-14.255,1,0.439,0.642,0.0,0.123,0.307,134.175,219179,4
8,bay_area,Caleborate,Away From,spotify:track:3SVeFVQS1H0XRLjkEccPKC,0.715,0.453,9,-9.738,1,0.339,0.791,0.0,0.0698,0.465,75.003,254399,4
9,bay_area,Caleborate,Bankrobber,spotify:track:3SqVtIMesHETZDm3UU2Pb4,0.445,0.579,5,-8.586,1,0.313,0.0384,0.0,0.163,0.548,85.265,237013,4
10,bay_area,WHY?,Siren 042,spotify:track:75nN4kH1uzSsUdMrdUVfrq,0.601,0.596,11,-7.373,1,0.0251,0.694,0.00579,0.107,0.457,108.0,161043,4
11,bay_area,WHY?,Good Friday,spotify:track:65Z4dxKlWtNhrPghqWtevw,0.524,0.918,4,-5.463,0,0.0529,0.419,0.000655,0.455,0.738,147.966,229803,4
12,bay_area,WHY?,"The Vowels, Pt. 2",spotify:track:46wDtZkcoQdSelJ12emUIp,0.452,0.779,0,-5.208,0,0.0397,0.555,3.05e-05,0.235,0.13,123.992,246109,4
13,bay_area,WHY?,These Few Presidents,spotify:track:3je5cct1llhBSOE9Vkimbi,0.441,0.548,5,-8.184,0,0.0551,0.212,9e-05,0.111,0.459,129.915,184438,4
14,bay_area,WHY?,Good Friday - Boards of Canada Remix,spotify:track:2WnTLTRahk484WKBAR1sG2,0.34,0.938,2,-10.099,1,0.376,0.805,0.479,0.319,0.364,74.035,371147,4
15,bay_area,WHY?,Fatalist Palmistry,spotify:track:5CbdBwARzbPNNldURYLssd,0.407,0.902,2,-4.7,1,0.0545,0.0625,3.66e-06,0.364,0.624,125.414,233422,4
16,bay_area,WHY?,The Hollows,spotify:track:4EvhRodgAKtFK7Qo5KelrR,0.547,0.712,2,-5.407,0,0.0294,0.0818,8.08e-05,0.112,0.361,124.786,234603,4
17,bay_area,WHY?,Gemini (Birthday Song),spotify:track:4CgW0OIhoLIalJCYocld0u,0.645,0.798,3,-4.077,1,0.0264,0.176,0.000289,0.101,0.311,109.133,327520,3
18,bay_area,WHY?,Strawberries,spotify:track:4Tu8ZM8d3p7wMDeQMyNg6f,0.584,0.707,5,-7.123,1,0.0543,0.0278,0.0,0.29,0.439,75.473,198217,4
19,bay_area,WHY?,"Bloom Wither Bloom (for Mom) (feat. Christian Lee Hutson, Gabby’s World)",spotify:track:56VNfkae9r8sQIUFZCfo0F,0.577,0.51,2,-9.717,1,0.0454,0.811,3.35e-05,0.125,0.413,105.0,250000,4
20,bay_area,Woodie,The Streets Are Callin' Me,spotify:track:3qNoGIfSNWH0i88hPl1vek,0.599,0.835,2,-6.027,1,0.147,0.622,0.0,0.28,0.603,188.042,245640,4
21,bay_area,Woodie,Norte Sidin',spotify:track:5P2nl9SVr9joiwos6Y1FXd,0.903,0.611,1,-8.283,0,0.0768,0.101,0.0,0.104,0.343,102.043,211840,4
22,bay_area,Woodie,The Way You Feel (Feat. Shadow & Lil Los),spotify:track:1z3ZeJcueOM0aKr3ucQb0k,0.689,0.836,2,-5.734,1,0.267,0.483,0.0,0.266,0.699,164.123,327373,4
23,bay_area,Woodie,The Clock Is Tickin',spotify:track:5OEwhQSpXN3t1kI1Xx7fdF,0.821,0.608,11,-7.296,1,0.0461,0.136,4.83e-05,0.144,0.418,97.981,191133,4
24,bay_area,Woodie,"Blackbird (Feat. Lil Los, Shadow & Lou E Lou)",spotify:track:4iXSdj83QtXs6rk4wEKvdz,0.793,0.629,1,-5.865,1,0.298,0.253,0.0,0.214,0.785,93.918,346347,4
25,bay_area,Woodie,Callin' Your Bluff,spotify:track:3yg6i7DNsIJL6YiBgZF0Y4,0.785,0.67,7,-6.924,1,0.0389,0.00341,0.0032,0.133,0.196,91.027,224600,4
26,bay_area,Woodie,Loyalty (Feat. Lil Los),spotify:track:43edNkQa0G0EeeWZP32G8G,0.665,0.897,0,-2.566,1,0.0471,0.109,0.0,0.623,0.809,92.017,296133,4
27,bay_area,Woodie,Mind Games (Blackbird Speaks) - Bonus Track,spotify:track:57nJX6Mx4EzGEzk16SOJbE,0.663,0.753,2,-5.227,1,0.206,0.00464,0.0,0.182,0.646,168.129,279987,4
28,bay_area,Woodie,-n- The Bay,spotify:track:64BiH9GJzi0PiWUM6PTGWc,0.72,0.808,7,-4.717,1,0.259,0.444,0.0,0.246,0.547,83.876,258373,4
29,bay_area,Woodie,Karma Is a Mutha,spotify:track:76vV9Ciq02r7EL4L85IM0n,0.545,0.598,1,-9.093,0,0.301,0.0568,0.000324,0.0846,0.529,167.936,205714,4
30,bay_area,Krypto,Peace In The Streets,spotify:track:3xOLjfVtIQtQWltdmcTsKb,0.908,0.814,10,-6.08,0,0.274,0.198,0.0,0.0416,0.862,104.732,309881,4
31,bay_area,Krypto,Who Is That? (feat. Husalah),spotify:track:2ZDV0Q430XUsky62X3C6cy,0.787,0.698,2,-6.159,1,0.147,0.153,0.0,0.0848,0.153,92.997,230107,4
32,bay_area,Krypto,Comedian Party - Original Mix,spotify:track:2kxlM9cg77AmY90PJ3zQZJ,0.742,0.989,11,-5.067,0,0.064,4.1e-05,0.797,0.0812,0.395,150.002,543673,4
33,bay_area,Krypto,"I Won't Tell (feat. Jay Rock, Nipsey Hussle & T-Nutty)",spotify:track:05VJ70EmUJBW68ROqPru8m,0.408,0.743,1,-6.625,0,0.263,0.00741,0.0,0.352,0.39,81.073,347345,4
34,bay_area,Krypto,Zapped (feat. Andre Nickatina),spotify:track:3bsNRXJ5HCiZGtiPmsVHLv,0.683,0.869,1,-6.068,1,0.0469,0.000664,0.0,0.118,0.495,102.047,239989,4
35,bay_area,Krypto,Gyangsta (feat. Los Rakas & The Jacka),spotify:track:3uQQwq6SfpJr3gBdwh3E2t,0.573,0.897,9,-4.663,0,0.307,0.0148,0.0,0.113,0.592,91.25,194187,4
36,bay_area,Krypto,Im Ill,spotify:track:27L3V9VztsndbR1nF0QuY9,0.484,0.626,7,-13.715,1,0.675,0.0554,0.0,0.914,0.668,73.22,265160,4
37,bay_area,Krypto,Utopia (figli del caos) [feat. Devir Vinz Shepard],spotify:track:0LlI5WwzsCLen3JftpWwXr,0.814,0.617,9,-14.086,0,0.0973,0.267,0.0,0.117,0.834,110.004,231824,4
38,bay_area,Krypto,"Empire Of The Gun (feat. Husalah, Krondon & Phil Da Agony)",spotify:track:5WrHOat6nMuLmy0fpwbq6J,0.548,0.943,7,-5.846,1,0.263,0.000316,0.05,0.308,0.521,136.083,343354,4
39,bay_area,Krypto,Dope Dick (feat. Rydah J. Klyde),spotify:track:0LIpCsEVaEwqx2kFQDC6gs,0.604,0.751,8,-7.37,1,0.342,0.108,0.0,0.0982,0.419,160.027,277111,4
40,bay_area,Cozmo,What Dreams Are Made Of,spotify:track:23mpccd0l6MUl9k3fSazIp,0.724,0.448,6,-9.604,0,0.0574,0.402,2.04e-06,0.0823,0.387,119.94,240062,4
41,bay_area,Cozmo,Exhale,spotify:track:0ZYxOplINOBeveenQzmQMe,0.511,0.676,6,-1.217,1,0.375,0.0273,5.7e-06,0.0768,0.416,80.134,166626,4
42,bay_area,Cozmo,100 Miles,spotify:track:5kndjG3Uq7olokeKsRrz4D,0.531,0.877,9,-5.359,1,0.429,0.606,0.0,0.0994,0.458,78.247,242604,4
43,bay_area,Cozmo,No Tomorrow,spotify:track:5TR6EecfDD8QDt1jkQSPHZ,0.617,0.869,7,-2.103,1,0.431,0.0393,0.0,0.388,0.346,152.527,271579,4
44,bay_area,Cozmo,Rubber Band Stacks,spotify:track:3l97wvR7VJyvNRxNpUTwwx,0.489,0.904,1,-3.599,1,0.381,0.0325,0.0,0.908,0.551,82.977,337400,4
45,bay_area,Cozmo,Carry On,spotify:track:4QypaqJmAzXhHeZiX4YNig,0.725,0.889,6,-3.71,0,0.311,0.00794,0.0,0.114,0.616,82.487,232986,4
